
Note: the module "julia" cannot be unloaded because it was not loaded.

2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance uflp nldep gunluk ../../../../../instances/uflp/gunluk/gunluk-30-60-9.txt pardivexp
The latest version of Julia in the `1.10` channel is 1.10.6+0.x64.linux.gnu. You currently have `1.10.5+0.x64.linux.gnu` installed. Run:

  juliaup update

in your terminal shell to install Julia 1.10.6+0.x64.linux.gnu and update the `1.10` channel to that version.
presolving:
(round 1, fast)       30 del vars, 30 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 30 del vars, 30 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 1800 upgd conss, 0 impls, 0 clqs
   (0.1s) probing cycle finished: starting next cycle
   (0.1s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.1s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 2 medium, 2 exhaustive):
 30 deleted vars, 30 deleted constraints, 0 added constraints, 30 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1800 implications, 0 cliques
presolved problem has 1860 variables (30 bin, 0 int, 0 impl, 1830 cont) and 1890 constraints
   1800 constraints of type <varbound>
     60 constraints of type <linear>
     30 constraints of type <nonlinear>
Presolving Time: 0.07

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.1s|     1 |     0 |   266 |     - |shiftand|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 |-1.144409e-04 | 1.260101e+03 |    Inf | unknown
t 0.1s|     1 |     0 |   266 |     - |  trysol|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 |-1.144409e-04 | 2.575704e+02 |    Inf | unknown
  0.1s|     1 |     0 |   535 |     - |    21M |   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 | 2.562535e+02 | 2.575704e+02 |   0.51%| unknown
L 2.3s|     1 |     0 |   535 |     - |  subnlp|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 | 2.562535e+02 | 2.573795e+02 |   0.44%| unknown
  2.3s|     1 |     0 |   565 |     - |    21M |   0 |1980 |1890 |2129 |  29 |  1 |   0 |   0 | 2.562551e+02 | 2.573795e+02 |   0.44%| unknown
  2.3s|     1 |     0 |   620 |     - |    21M |   0 |1980 |1890 |2158 |  58 |  2 |   0 |   0 | 2.562956e+02 | 2.573795e+02 |   0.42%| unknown
  2.3s|     1 |     0 |   635 |     - |    21M |   0 |1980 |1890 |2171 |  71 |  3 |   0 |   0 | 2.562991e+02 | 2.573795e+02 |   0.42%| unknown
  4.5s|     1 |     0 |  5689 |     - |    71M |   0 |1980 | 450 |2171 |  71 |  4 |   0 |   0 | 2.566275e+02 | 2.573795e+02 |   0.29%| unknown
  4.5s|     1 |     0 |  5774 |     - |    71M |   0 |1980 | 450 |2197 |  97 |  5 |   0 |   0 | 2.568671e+02 | 2.573795e+02 |   0.20%| unknown
  4.5s|     1 |     0 |  5787 |     - |    71M |   0 |1980 | 450 |2210 | 110 |  6 |   0 |   0 | 2.568782e+02 | 2.573795e+02 |   0.20%| unknown
  4.8s|     1 |     0 |  6033 |     - |    76M |   0 |1980 | 450 |2210 | 110 |  7 |   0 |   0 | 2.568861e+02 | 2.573795e+02 |   0.19%| unknown
  4.8s|     1 |     0 |  6062 |     - |    76M |   0 |1980 | 450 |2233 | 133 |  8 |   0 |   0 | 2.569989e+02 | 2.573795e+02 |   0.15%| unknown
  4.8s|     1 |     0 |  6074 |     - |    76M |   0 |1980 | 450 |2245 | 145 |  9 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
(run 1, node 1) restarting after 24 global fixings of integer variables

presolving:
(round 1, fast)       144 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 351 chg coeffs, 0 upgd conss, 1800 impls, 0 clqs
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 144 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1800 implications, 0 cliques
presolved problem has 1836 variables (6 bin, 0 int, 0 impl, 1830 cont) and 450 constraints
    360 constraints of type <varbound>
     60 constraints of type <linear>
     30 constraints of type <nonlinear>
Presolving Time: 0.10
transformed 3/4 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.8s|     1 |     0 |  6293 |     - |    39M |   0 |1956 | 450 | 660 |   0 |  0 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
  8.9s|     1 |     0 |  6336 |     - |    39M |   0 |1956 | 450 | 687 |  27 |  1 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
  8.9s|     1 |     0 |  6349 |     - |    40M |   0 |1956 | 450 | 698 |  38 |  2 |   0 |   0 | 2.570141e+02 | 2.573795e+02 |   0.14%| unknown
 10.1s|     1 |     0 | 12049 |     - |    86M |   0 |1956 | 390 | 698 |  38 |  3 |   0 |   0 | 2.570355e+02 | 2.573795e+02 |   0.13%| unknown
 10.1s|     1 |     0 | 12103 |     - |    86M |   0 |1956 | 390 | 724 |  64 |  4 |   0 |   0 | 2.572781e+02 | 2.573795e+02 |   0.04%| unknown
 10.1s|     1 |     0 | 12118 |     - |    86M |   0 |1956 | 390 | 739 |  79 |  5 |   0 |   0 | 2.572855e+02 | 2.573795e+02 |   0.04%| unknown
 12.1s|     1 |     2 | 12127 |     - |    87M |   0 |1956 | 390 | 739 |  79 |  6 |   0 |   3 | 2.572855e+02 | 2.573795e+02 |   0.04%| unknown
d20.2s|    61 |    58 | 12184 | 184.5 |nlpdivin|  49 |1956 | 270 | 577 | 148 |  1 |   0 |   4 | 2.573531e+02 | 2.573795e+02 |   0.01%|  69.12%
  207s|  8200 |    35 | 14984 |   1.7 |   119M |1023 |1956 | 210 | 712 |1846 |  0 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.97%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  208s|  8300 |    37 | 15015 |   1.7 |   119M |1023 |1956 | 210 | 730 |1864 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.97%
  209s|  8400 |    39 | 15055 |   1.7 |   119M |1023 |1956 | 210 | 744 |1887 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.97%
  210s|  8500 |    29 | 15096 |   1.7 |   119M |1023 |1956 | 210 | 684 |1907 |  0 |   0 |   4 | 2.573788e+02 | 2.573795e+02 |   0.00%|  99.99%
  211s|  8600 |    29 | 15140 |   1.7 |   119M |1023 |1956 | 210 | 710 |1930 |  2 |   0 |   4 | 2.573788e+02 | 2.573795e+02 |   0.00%|  99.99%
  213s|  8700 |    19 | 15175 |   1.6 |   119M |1066 |1956 | 210 | 793 |1946 |  1 |   0 |   4 | 2.573789e+02 | 2.573795e+02 |   0.00%|  99.99%
  214s|  8800 |    21 | 15199 |   1.6 |   119M |1117 |1956 | 210 | 809 |1962 |  1 |   0 |   4 | 2.573789e+02 | 2.573795e+02 |   0.00%|  99.99%

SCIP Status        : solving was interrupted [gap limit reached]
Solving Time (sec) : 214.57
Solving Nodes      : 8874 (total of 8875 nodes in 2 runs)
Primal Bound       : +2.57379513161358e+02 (17 solutions)
Dual Bound         : +2.57379325201013e+02
Gap                : 0.00 %
Generating Gunluk and Lee data file ../../../../../instances/uflp/gunluk/gunluk-30-60-9.txt
f0 = 0.07410824578271875
f0 = 0.00705792816978274
f0 = 0.08822410212228424
f0 = 0.023820507573016746
f0 = 0.05469894331581623
f0 = 0.07851945088883297
f0 = 0.005293446127337054
f0 = 0.05999238944315328
f0 = 0.08822410212228424
f0 = 0.0688147996553817
f0 = 0.07675496884638729
f0 = 0.02205602553057106
f0 = 0.07675496884638729
f0 = 0.05116997923092485
f0 = 0.046758774124810644
f0 = 0.006175687148559896
f0 = 0.06705031761293602
f0 = 0.03881860493380507
f0 = 0.023820507573016746
f0 = 0.0644035945492675
f0 = 0.027349471657908114
f0 = 0.01411585633956548
f0 = 0.01146913327589695
f0 = 0.017644820424456847
f0 = 0.07763720986761014
f0 = 0.024702748594239585
f0 = 0.001764482042445685
f0 = 0.030878435742799484
f0 = 0.04940549718847917
f0 = 0.024702748594239585
primal_bound = 257.37951316135786, dual_bound = 257.37932520101305, gap = 7.302847942662269e-5, time = 217.27
